Date,Month,Day of Week,Place,Drink,Topping,Type 
5/29/2023,May,Monday,Sunright,Boba Milk Tea,Boba,Milk
6/2/2023,June,Friday,Tea Era,Mango Green Tea,Boba,Fruit
6/3/2023,June,Saturday,TP Tea,Strawberry Matcha Latte,None,Milk
6/5/2023,June,Monday,Breaktime Tea,Passion Fruit Green Tea,None,Fruit
6/9/2023,June,Friday,Tea Era,Passion Fruit Green Tea,Boba,Fruit
6/17/2023,June,Saturday,Tea Era,Guava Slush,Boba,Fruit
6/21/2023,June,Wednesday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
6/21/2023,June,Wednesday,Tea Era,Red Guava Green Tea,Boba,Fruit
6/23/2023,June,Friday,OneMore,Black Milk Tea,Boba,Milk
6/27/2023,June,Tuesday,Teaspoon,Lychee on Lychee,"Boba, Jelly",Fruit
6/29/2023,June,Thursday,Verde,Mango Milk Tea,Boba,Milk
6/30/2023,June,Friday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
6/30/2023,June,Friday,Teaspoon,Strawberry Matcha Latte,None,Milk
7/1/2023,July,Saturday,TP Tea,Strawberry Matcha Latte,Boba,Milk
7/6/2023,July,Thursday,Tpumps,"Guava, Passion Fruit Green Tea",Boba,Fruit
7/17/2023,July,Monday,TP Tea,Boba Milk Tea,Boba,Milk
7/20/2023,July,Thursday,Rabbit Rabbit Tea,Lychee Jasmine Green Milk Tea,Boba,Milk
7/20/2023,July,Thursday,Boba Guys,Strawberry Jasmine,Boba,Fruit
7/23/2023,July,Sunday,Zero&,Pink Guava Oasis,Boba,Fruit
7/27/2023,July,Thursday,TP Tea,Mango Boba Milk Tea,Boba,Milk
8/1/2023,August,Tuesday,Teaspoon,House Milk Tea,Boba,Milk
8/2/2023,August,Wednesday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
8/5/2023,August,Saturday,Li Cha Tea,Passion Pineapple Fruit Tea,Boba,Fruit
8/6/2023,August,Sunday,Ume Tea,Strawberry Matcha Latte,None,Milk
8/7/2023,August,Monday,Happy Lemon,Passion Fruit Mango Green Tea,None,Fruit
8/8/2023,August,Tuesday,7 Leaves,Matcha Soy Latte,Boba,Milk
8/9/2023,August,Wednesday,Cafe Lattea,Strawberry Peach Black Tea,None,Fruit
8/10/2023,August,Thursday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
